name,sport,longitude,latitude,opening_hours,contact:phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:country,processed
Ritm - Jules Verne,,-1.5349667,47.2346736,Mo-Fr 09:00-21:30; Sa 09:00-18:30; Su 09:30-13:00,+33 2 51 89 03 03,https://ritm-sport.fr/,Boulevard Jules Verne,Nantes,,44300.0,FR,True
KeepCool,fitness,-1.5303104,47.2409422,6:00-23:00,,,Boulevard Jules Verne,Nantes,,44300.0,FR,True
Gigafit,fitness,6.3555372,46.9018263,Mo-Su 06:00-23:00,,https://gigafit.fr/club/pontarlier,Rue des Remparts,Pontarlier,18,25300.0,FR,True
Total Unity Training,,6.3584277,46.9058871,"Mo-Fr 08:00-13:00,16:00-20:00; Sa 09:00-13:00",,https://www.totalunitytraining.fr/,Rue des Lavaux,Pontarlier,,25300.0,FR,True
KeepCool,,6.1988272,49.1343987,,,https://www.keepcool.fr/s/salle-de-sport-metz-saint-julien,M 1,Sankt Julian bei Metz,14,57070.0,FR,True
Banane & basket,,4.8077511,45.7709288,Mo-Su 06:00-23:00,,,Rue du Chapeau Rouge,Lyon,,69009.0,FR,True
Fitness Park,,2.3098785,48.816062,Mo-Su 06:00-23:00,,,Avenue Verdier,Montrouge,,92120.0,FR,True
,fitness,-1.489458,47.305156,,,,Boulevard du Charbonneau,Carquefou,,44470.0,FR,True
L'orange bleue,,1.21626,44.88518,,,,Rue de Cahors,Sarlat-la-Canéda,,24200.0,FR,True
Cardio,fitness,7.0406755,43.6090573,,,,Piste Principale,Mougins,,6250.0,FR,True
Les Cercles de la Forme Bastille,fitness,2.3762208,48.8510187,,,https://www.cerclesdelaforme.com/,Rue Traversière,Paris,80,75012.0,FR,True
BodyMouv37,fitness,0.9117925,47.5956278,,,https://bodymouv37.fr/,Rue Simone Veil,Château-Renault,,37110.0,FR,True
Basic-Fit,,-0.5582924,44.8436976,"Mo-Fr 06:00-22:30; Sa,Su 09:00-19:00; PH 09:00-16:00",,,Allée Serr,Bordeaux,30,33100.0,FR,True
CMG Sports Club,fitness,2.3058616,48.8732718,,+33 1 43 59 04 58,,Rue de Berri,Paris,,75008.0,FR,True
KeepCool,,-0.4770546,43.9036729,,,,Avenue du Maréchal Juin,Mont-de-Marsan,,40000.0,FR,True
L'Instant Forme,,-0.5007572,43.8913646,,,https://linstantforme.fr/,Avenue Aristide Briand,Mont-de-Marsan,24 bis,40000.0,FR,True
Curves - Club de forme pour femmes,,3.8662552,43.5954882,,,,Rue Guillaume Janvier,Montpellier,,34071.0,FR,True
CMG Sports Club,fitness,2.3401853,48.8750963,,+33 1 48 74 58 49,,Rue de la Victoire,Paris,,75009.0,FR,True
Keepcool,,3.8653888,43.6113921,"Mo-Fr 08:00-21:00; Sa,Su 10:00-13:00,16:00-19:00",,https://www.keepcool.fr/s/salle-de-sport-montpellier-arceaux,Boulevard des Arceaux,Montpellier,,34967.0,FR,True
Crossfit Lutèce,,2.286911,48.8447088,Mo-Su 07:00-22:00,,,Rue de l'Église,Paris,,75015.0,FR,True
Dynamo- Spinning,,2.3365607,48.8689539,,,,Rue Saint-Augustin,Paris,,75002.0,FR,True
yoga village Paris,,2.3291514,48.8699276,,,,Boulevard des Capucines,Paris,,75002.0,FR,True
Myway Fitness Valence,fitness,4.8843779,44.957701,Mo-Su 06:00-23:00,,,Rue des Chabanneries,Bourg-lès-Valence,300,26500.0,FR,True
L'Usine Beaubourg,,2.350035,48.8598439,Mo-Su 07:00-23:00,,,Rue Quincampoix,Paris,16-20,75004.0,FR,True
Omm Studio,,2.3666463,48.8578902,,,,Rue Saint-Gilles,Paris,12-14,75003.0,FR,True
L'Appart Fitness,,4.4019207,45.427021,,,,Cours Fauriel,Saint-Étienne,86,42100.0,FR,True
Fitness Park,,3.1359037,50.7391057,,,,Rue Henri Barbusse,Roncq,,59223.0,FR,True
Ovalie Fitness,fitness,1.3293751,43.6119275,,,,Place du Val d'Aran,Colomiers,30 bis,31770.0,FR,True
Fitness Park,fitness,2.2920216,48.9625482,"Mo-Su,PH 08:00-23:00",,,Avenue Joffre,Épinay-sur-Seine,163,93800.0,FR,True
Dynamo Spinning,,2.309139,48.872063,,,,Rue La Boétie,Paris,,75008.0,FR,True
L'Orange Bleue,,-0.1952249,48.8894137,,,,Place Edward Holman,Falaise,,14700.0,FR,True
,fitness,-1.6161984,48.0461371,,,,Allée de la Pérouse,Vern-sur-Seiche,,35770.0,FR,True
Basic-Fit,,1.0579101,47.7950041,,,https://www.basic-fit.com/fr-fr/salle-de-sport/basic-fit-vendome-rue-des-4-huyes--f6a48b28d6ff4fd7abafde59cc3127dc.html,Rue des Quatre Huyes,Vendôme,60,41100.0,FR,True
,fitness,6.0968288,46.122879,,,,Route des Envignes,Neydens,500,74160.0,FR,True
Surface,,2.2860127,48.8749903,,,,Avenue Alphand,Paris,,75116.0,FR,True
Lady Moving,,2.5406892,48.8232595,,,http://ladymoving-villierssurmarne.fr,Place Joséphine Piquet,Villiers-sur-Marne,4,94350.0,FR,True
Healthy Warriors,yoga;pilates,2.2406286,48.8344025,,,https://healthy-warriors.com/,Rue Carnot,Boulogne-Billancourt,,92100.0,FR,True
Barres Fixes,fitness,2.9273135,42.6852925,,,,Avenue de Saint-Gaudérique,Cabestany,,66330.0,FR,True
Saut de Haies,fitness,2.927779,42.6848511,,,,Avenue de Saint-Gaudérique,Cabestany,,66330.0,FR,True
Échelle Horizontale,fitness,2.9260821,42.6862958,,,,Avenue de Saint-Gaudérique,Cabestany,,66330.0,FR,True
Double Espalier,fitness,2.9284704,42.6845199,,,,Avenue de Saint-Gaudérique,Cabestany,,66330.0,FR,True
Barres Parallèles,fitness,2.9265474,42.6864741,,,,Chemin du Mas Sainte-Camille,Cabestany,,66330.0,FR,True
Poutre d'Équilibre,fitness,2.9256393,42.6858781,,,,Avenue de Saint-Gaudérique,Cabestany,,66330.0,FR,True
Station Abdominaux,fitness,2.9292165,42.6848334,,,,Avenue de Saint-Gaudérique,Cabestany,,66330.0,FR,True
KeepCool,fitness,5.3857486,43.2930453,,,,Rue des Trois Frères Barthélémy,Marseille,,13006.0,FR,True
Studio Form Fitness,fitness,4.9026405,45.062673,,,,Avenue du Vercors,Mercurol-Veaunes,,26600.0,FR,True
L'Orange Bleue,,0.6942961,47.3775523,Mo-Fr 09:30-21:00; Th 17:00-21:00; Sa 09:30-12:30,+33 2 34 53 21 24,,Avenue de Grammont,Tours,,37000.0,FR,True
,fitness,-1.1208501,44.7596753,,,,Avenue de la Libération,Arès,,33740.0,FR,True
Fitness Park,fitness,2.7548701,48.8545301,Mo-Su 06:00-23:00,,,Rue de Fontenelle,Montévrain,,77144.0,FR,True
NKCC CrossFit,,2.2158619,48.8661941,,,https://www.nkcc.fr/crossfit,Boulevard du Maréchal de Lattre de Tassigny,Suresnes,,92150.0,FR,True
Acrosport,,2.448971,48.986885,,,,Rue de l'Hôtel-Dieu - Pierre du Thillay,Gonesse,,95500.0,FR,True
,,2.4579892,48.7964176,,,,Avenue du Maréchal de Lattre de Tassigny,Créteil,20,94000.0,FR,True
Body Hit,,2.2609137,48.8451684,,,,Rue Molitor,Paris,,75016.0,FR,True
Studio 3C,,2.2603801,48.8449569,,,,Rue Erlanger,Paris,,75016.0,FR,True
Kiwill - Spinning,,2.3681993,48.8661869,,,,Rue du Grand Prieuré,Paris,27,75011.0,FR,True
Centre Movimento,yoga,4.815998,44.1364689,,+33 6 61 72 67 62,http://www.centre-movimento.fr/,Avenue Rodolphe d'Aymard,Orange,,84100.0,FR,True
,fitness,-0.5794385,44.877924,,,,Boulevard Jacques Chaban-Delmas,Bruges,,33520.0,FR,True
,fitness,-0.5835789,44.8819534,,,,Boulevard Jacques Chaban-Delmas,Bruges,,33520.0,FR,True
,fitness,-0.5838299,44.8825806,,,,Boulevard Jacques Chaban-Delmas,Bruges,,33520.0,FR,True
KeepCool,fitness,6.2433743,48.7093698,Mo-Su 06:00-23:00,,https://www.keepcool.fr/s/salle-de-sport-nancy-essey,Avenue de Saulxures,Essey-lès-Nancy,,54270.0,FR,True
Waris Dirie by John Reed,fitness,2.2881063,48.871644,,,,Rue Paul Valéry,Paris,,75116.0,FR,True
