name,sport,longitude,latitude,opening_hours,contact:phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:country
Ritm - Jules Verne,,-1.5349667,47.2346736,Mo-Fr 09:00-21:30; Sa 09:00-18:30; Su 09:30-13:00,+33 2 51 89 03 03,https://ritm-sport.fr/,,,,,FR
KeepCool,fitness,-1.5303104,47.2409422,6:00-23:00,,,,,,,FR
Gigafit,fitness,6.3555372,46.9018263,Mo-Su 06:00-23:00,,https://gigafit.fr/club/pontarlier,Rue des Remparts,,18,,FR
Total Unity Training,,6.3584277,46.9058871,"Mo-Fr 08:00-13:00,16:00-20:00; Sa 09:00-13:00",,https://www.totalunitytraining.fr/,,,,,FR
KeepCool,,6.1988272,49.1343987,,,https://www.keepcool.fr/s/salle-de-sport-metz-saint-julien,,,,,FR
Banane & basket,,4.8077511,45.7709288,Mo-Su 06:00-23:00,,,,,,,FR
Fitness Park,,2.3098785,48.816062,Mo-Su 06:00-23:00,,,,,,,FR
,fitness,-1.489458,47.305156,,,,,,,,FR
L'orange bleue,,1.21626,44.88518,,,,,,,,FR
Cardio,fitness,7.0406755,43.6090573,,,,,,,,FR
Les Cercles de la Forme Bastille,fitness,2.3762208,48.8510187,,,https://www.cerclesdelaforme.com/,Rue Traversière,Paris,80,75012.0,FR
BodyMouv37,fitness,0.9117925,47.5956278,,,https://bodymouv37.fr/,,,,,FR
Basic-Fit,,-0.5582924,44.8436976,"Mo-Fr 06:00-22:30; Sa,Su 09:00-19:00; PH 09:00-16:00",,,,,,,FR
CMG Sports Club,fitness,2.3058616,48.8732718,,+33 1 43 59 04 58,,,,,,FR
KeepCool,,-0.4770546,43.9036729,,,,,,,,FR
L'Instant Forme,,-0.5007572,43.8913646,,,https://linstantforme.fr/,Avenue Aristide Briand,Mont-de-Marsan,24 bis,40000.0,FR
Curves - Club de forme pour femmes,,3.8662552,43.5954882,,,,,,,,FR
CMG Sports Club,fitness,2.3401853,48.8750963,,+33 1 48 74 58 49,,,,,,FR
Keepcool,,3.8653888,43.6113921,"Mo-Fr 08:00-21:00; Sa,Su 10:00-13:00,16:00-19:00",,https://www.keepcool.fr/s/salle-de-sport-montpellier-arceaux,,,,,FR
Crossfit Lutèce,,2.286911,48.8447088,Mo-Su 07:00-22:00,,,,,,,FR
Dynamo- Spinning,,2.3365607,48.8689539,,,,,,,,FR
yoga village Paris,,2.3291514,48.8699276,,,,,,,,FR
Myway Fitness Valence,fitness,4.8843779,44.957701,Mo-Su 06:00-23:00,,,Rue des Chabanneries,,300,,FR
L'Usine Beaubourg,,2.350035,48.8598439,Mo-Su 07:00-23:00,,,Rue Quincampoix,Paris,16-20,75004.0,FR
Omm Studio,,2.3666463,48.8578902,,,,Rue Saint-Gilles,Paris,12-14,75003.0,FR
L'Appart Fitness,,4.4019207,45.427021,,,,Cours Fauriel,Saint-Étienne,86,42100.0,FR
Fitness Park,,3.1359037,50.7391057,,,,,,,,FR
Ovalie Fitness,fitness,1.3293751,43.6119275,,,,Place du Val d'Aran,,30 bis,31770.0,FR
Fitness Park,fitness,2.2920216,48.9625482,"Mo-Su,PH 08:00-23:00",,,Avenue Joffre,Épinay-sur-Seine,163,93800.0,FR
Dynamo Spinning,,2.309139,48.872063,,,,,,,,FR
L'Orange Bleue,,-0.1952249,48.8894137,,,,,,,,FR
,fitness,-1.6161984,48.0461371,,,,,,,,FR
Basic-Fit,,1.0579101,47.7950041,,,https://www.basic-fit.com/fr-fr/salle-de-sport/basic-fit-vendome-rue-des-4-huyes--f6a48b28d6ff4fd7abafde59cc3127dc.html,,Vendôme,60,41100.0,FR
,fitness,6.0968288,46.122879,,,,,,,,FR
Surface,,2.2860127,48.8749903,,,,,,,,FR
Lady Moving,,2.5406892,48.8232595,,,http://ladymoving-villierssurmarne.fr,,,4,,FR
Healthy Warriors,yoga;pilates,2.2406286,48.8344025,,,https://healthy-warriors.com/,,,,,FR
Barres Fixes,fitness,2.9273135,42.6852925,,,,,,,,FR
Saut de Haies,fitness,2.927779,42.6848511,,,,,,,,FR
Échelle Horizontale,fitness,2.9260821,42.6862958,,,,,,,,FR
Double Espalier,fitness,2.9284704,42.6845199,,,,,,,,FR
Barres Parallèles,fitness,2.9265474,42.6864741,,,,,,,,FR
Poutre d'Équilibre,fitness,2.9256393,42.6858781,,,,,,,,FR
Station Abdominaux,fitness,2.9292165,42.6848334,,,,,,,,FR
KeepCool,fitness,5.3857486,43.2930453,,,,,,,,FR
Studio Form Fitness,fitness,4.9026405,45.062673,,,,,,,,FR
L'Orange Bleue,,0.6942961,47.3775523,Mo-Fr 09:30-21:00; Th 17:00-21:00; Sa 09:30-12:30,+33 2 34 53 21 24,,,,,,FR
,fitness,-1.1208501,44.7596753,,,,,,,,FR
Fitness Park,fitness,2.7548701,48.8545301,Mo-Su 06:00-23:00,,,,,,,FR
NKCC CrossFit,,2.2158619,48.8661941,,,https://www.nkcc.fr/crossfit,,,,,FR
Acrosport,,2.448971,48.986885,,,,,,,,FR
,,2.4579892,48.7964176,,,,,,,,FR
Body Hit,,2.2609137,48.8451684,,,,,,,,FR
Studio 3C,,2.2603801,48.8449569,,,,,,,,FR
Kiwill - Spinning,,2.3681993,48.8661869,,,,Rue du Grand Prieuré,Paris,27,75011.0,FR
Centre Movimento,yoga,4.815998,44.1364689,,+33 6 61 72 67 62,http://www.centre-movimento.fr/,,Orange,,,FR
,fitness,-0.5794385,44.877924,,,,,,,,FR
,fitness,-0.5835789,44.8819534,,,,,,,,FR
,fitness,-0.5838299,44.8825806,,,,,,,,FR
KeepCool,fitness,6.2433743,48.7093698,Mo-Su 06:00-23:00,,https://www.keepcool.fr/s/salle-de-sport-nancy-essey,,,,,FR
Waris Dirie by John Reed,fitness,2.2881063,48.871644,,,,,,,,FR
Studio Fitness,fitness,1.0744155,49.4428936,Mo-Sa 06:00-23:00,,https://www.studio-fitness.fr,,,4,,FR
Basic-Fit,,-2.154715,47.233087,,,,,,,,FR
EPISOD,,2.326812,48.8837878,,,,,,,,FR
Fitness Park,fitness,2.1747829,48.6773455,Mo-Su 06:00-23:00,,https://www.fitnesspark.fr/club/les-ulis/,,,,,FR
Basic-Fit,,3.0810311,45.7727209,"Mo-Fr 08:00-22:30; Sa,Su 09:00-16:00",,,,,,,FR
,,2.5143585,48.7948357,,,,,,16,,FR
Cadence 3 Fitness,,0.3464609,46.588633,Mo-Fr 09:30-21:00; Sa 10:00-18:00,+33549611739,,,,,,FR
Basic-Fit,,3.6440324,49.5696388,,,,,,,,FR
Basic-Fit,,7.3170879,47.7932625,Mo-Su 06:00-22:30,+33 3 66 33 33 44,,,,,,FR
Carré Fitness,,-1.5717316,43.4677671,,,https://www.thalmar.com,,,,,FR
Body & Brain,yoga,2.2578859,48.8401487,,,,,,,,FR
Les Cercles de la Forme,fitness,2.3745296,48.8789056,,,https://www.cerclesdelaforme.com/,Avenue Simón Bolívar,Paris,108,75019.0,FR
Basic-Fit,,3.220734,50.1518849,"Mo-Fr 06:00-22:30; Sa,Su 9:00-19:00",,,Avenue de Paris,Cambrai,,59400.0,FR
Keep Cool,fitness,7.2696518,43.702645,06:00-23:00,+33 4 93 62 82 18,,,,,,FR
Neoness,,2.3497634,48.86515,,,,,,,,FR
Basic-Fit,,1.5268726,44.151032,,,,,,,,FR
O'sport,,4.8415934,46.7851307,,,,,,,,FR
KeepCool,,2.1013261,48.8803027,,,,,,,,FR
,fitness;dance,3.8858638,43.6035287,,,,,,,,FR
Waterbike,,2.2483332,48.8965607,Mo-Fr 08:30-21:00; Sa 09:00-20:00; Su 10:00-15:00,+33 1 71 03 46 00,,,,,,FR
Basic-Fit,,5.3914841,47.1904021,,,,,,,,FR
Basic-Fit,multi,4.7423018,44.5320713,,,,,,,,FR
Fitness Park,,2.4353087,48.845821,06:00-23:00,,,,,,,FR
Edenya,,-1.5070864,43.4838087,"PH,Mo-Su 06:00-23:00",,,,,,,FR
Fitness Park,,2.3674379,48.8667969,"Mo-Su,PH 00:00-00:00",,,Avenue de la République,,5,75011.0,FR
Planet Eden Gym,,2.4735798,48.7991867,,,,,,,,FR
Smith Academy,,-52.3129843,4.9195917,,,,,,,,FR
Game Training Club,,2.4717172,48.8077658,,,https://www.gametrainingclub.fr/,Rue du Pont de Créteil,Saint-Maur-des-Fossés,27,94100.0,FR
Karate Club,karate,-52.3317399,4.8498824,,,,,,,,FR
Fitness Park,,2.541531,48.8351776,,,,,,,,FR
,,4.5971714,48.7257436,,,,,,,,FR
Elancia,fitness,2.041341,48.7805331,Mo-Su 06:00-23:00,,,,,,,FR
,fitness,1.1768023,49.4022683,,,,,,,,FR
Fitlane,,6.9653387,43.5495975,,,,,,,,FR
Ritm - St Germain,fitness,2.3451193,48.8506984,Mo-Fr 07:00-22:00; Sa-Su 09:00-19:00,+33 1 53 10 70 80,,,,,,FR
,fitness,-1.2223906,48.1164668,,,,,,,,FR
,fitness,-1.2250138,48.1166638,,,,,,,,FR
Fitness Park,fitness,2.3991721,48.857619,"Mo-Th 06:00-23:00, Fr 06:00-23:00, Sa 06:00-23:00, Su 06:00-23:00",,https://www.fitnesspark.fr/club/paris-rue-de-bagnolet/,Rue de Bagnolet,Paris,65,75020.0,FR
Club Fit Center,,1.8544848,50.9481202,Mo-Su 06:00-23:00,,,Boulevard Jacquard,,8,,FR
Neoness,,-1.5986237,47.244328,"Mo,Fr 09:00-22:00; Tu-Th 07:00-22:00; Sa 09:00-19:00; Su 09:00-17:00",,https://www.neoness.fr/clubs/nantes/nantes-route-de-vannes,Route de Vannes,Orvault,230,44700.0,FR
La palma zen,yoga,2.3994073,51.0435918,,,,Boulevard de la République - François Mitterrand,Dunkerque,120,59240.0,FR
Espace Jaya,yoga,2.39385,48.8706475,,,,,,,,FR
Basic-Fit,,1.4807644,43.5377722,Mo-Fr 8:00-22:30; Sa-Su 09:00-16:00,,,Avenue des Crêtes,Ramonville-Saint-Agne,1,31520.0,FR
Fitness Park,,7.2845136,43.7115688,Mo-Su 06:00-23:00,,,Boulevard Jean-Baptiste Vérany,Nice,28,,FR
Basic-Fit,,3.1323966,50.6160689,Mo-Fr 08:00-22:30; Sa-Su 09:00-16:00,,https://www.basic-fit.com/fr-fr/salle-de-sport/basic-fit-villeneuve-d’ascq-boulevard-de-valmy-b233266397794972b16d800848d04558.html,Boulevard de Valmy,Villeneuve-d'Ascq,43,59650.0,FR
Basic-Fit,,2.3817476,48.7990816,,,,Boulevard de Stalingrad,,,,FR
Aeriforme Fitness,,3.8650493,43.6185129,,,,,,,,FR
Fit'Teix,fitness,2.4843228,48.8400843,Mo-Th 09:00-21:30; Fr 09:00-21:00; Sa 09:00-18:00; Su 09:00-14:30;,,https://www.fitteix-nogent.fr/,Boulevard Gallieni,Nogent-sur-Marne,17 bis,94130.0,FR
Interval,,1.5005248,43.5490441,,,https://www.interval.fr/salles-de-sport/labege/,,,,,FR
InnFine,weightlifting,3.4262879,46.1265774,,,https://innfinevichy.com/,Rue de Paris,,39,3200.0,FR
Coach & Moi,,-0.2380738,44.9153162,,,,,,,,FR
Anneaux de suspension,fitness,6.9988846,43.56065,,,,,,,,FR
Barre parallèles,fitness,7.0011706,43.5583325,,,,,,,,FR
Saut de haies,fitness,7.0007957,43.5588307,,,,,,,,FR
Keep cool,fitness,3.0735678,45.8902155,Mo-Su 06:00-23:00,,https://www.keepcool.fr/salle-de-sport/riom-mozac/,Avenue Jean Jaurès,Mozac,106,63200.0,FR
L'Orange Bleue,,0.1930198,48.0048376,,,,Rue Hippolyte Lecornué,Le Mans,12,72000.0,FR
Promenons-nous…,fitness,6.1772889,49.1173178,"Tu-Fr 10:00-12:30,13:30-19:00; Sa 10:00-19:00",,,,,,,FR
Basic-Fit,,-2.2103851,47.2940667,,,,,,,,FR
Atlis Club Sarl,,5.3773946,43.2942638,Mo-Su 06:00-21:00,,,,,3,,FR
Easyfit,,6.241996,46.1982163,,+33 4 50 37 09 09,,Rue des Tournelles,Ville-la-Grand,21,74100.0,FR
Vita liberté,,3.4753294,43.3114023,,,,,,4 ter,,FR
Physical Center,,2.3820317,48.7977659,Mo-Fr 06:00-23:00; Sa 06:00-19:00; Su 06:00-13:00,,,Boulevard de Stalingrad,,61,94400.0,FR
,fitness,7.7814089,48.6321878,,,,,,,,FR
,fitness,7.7817481,48.6324561,,,,,,,,FR
,,2.7420916,42.4932245,,,,,,,,FR
Form Attitude,,-0.2367344,44.9312498,,,,,,,,FR
Basic-Fit,,2.3619048,48.823382,,,,,,,,FR
Progress Form,,2.5309451,48.8301284,"Mo-Fr 07:00-22:30; Sa,Su 07:00-18:00",,,,,,,FR
L'Appart Fitness Chalon Centre,,4.8545694,46.7810956,,,https://www.lappartfitness.com/clubs/salle-de-sport-chalon-sur-saone,,,,,FR
New Body Club,,-0.2444021,44.9145822,,,http://newbodyclub.fr/,,,,,FR
Fifty Nine Fitness Club,,5.2412474,45.5952281,,,https://www.fiftyninefitnessclub.fr/salle/31-bourgoin-jallieu,,,,,FR
Basic-Fit,,2.3993005,48.7744448,,,,,,,,FR
NR Fight club,boxing,2.3688915,48.867758,,,https://www.nrfight.com/club-republique-paris/,,,,,FR
